,Baseline Model DSS,Refit Model DSS,Ablation Refit Model DSS
222,-87.03601118400177,-86.88103626420316,-86.90353533507795
223,-91.37025351476188,-91.14521280928486,-90.65869821095694
224,-83.97544560664234,-83.81234261729317,-82.49182101501272
225,-86.72309051042352,-87.7628232896009,-87.27988498457475
226,-79.8476203216066,-79.40400952944456,-78.42694790695685
227,-87.58063275601765,-87.9292044242595,-87.2627392121764
228,-84.02092607823636,-83.82722214844466,-84.44509992023856
229,-89.2673166655674,-89.41118092622631,-89.0015231491503
230,-88.97455790911842,-88.94333631787673,-88.2321994564561
231,-88.97336118802426,-89.0434911672921,-87.93538948679496
232,-70.19978299891838,-71.84615984943882,-73.39493414373233
233,-84.44056432744969,-84.01604685846428,-84.01803071425364
234,-60.31370998485471,-63.156401947237214,-59.55668202157415
235,-84.23552365584082,-84.99644115626987,-84.15933677583527
236,-87.52762709185069,-88.28504250236519,-88.35960100137935
237,-83.95346447739627,-82.55132624909785,-82.27613287490787
238,-81.80371502634733,-80.05474828094319,-80.73753580702461
239,-84.61378480730798,-83.39684545160908,-84.22664192696317
240,-89.98734308921621,-89.65067395651872,-90.07189680940954
241,-87.47915100027724,-87.06279753840377,-87.73197265998914
242,-91.75872993345564,-91.49223758858695,-91.65330314655519
243,-89.21074217302007,-88.69394400207496,-89.40426629595726
244,-90.76635643726465,-90.2534048376685,-90.4484426514652
